First Name,Middle Name,Last Name,Email,Country,Phone Number,Gender,Academic Level
adebola,,oguntade,example1@gmail.com,Nigeria,712345678,male,postgraduate
ojobor,,jude ikechukwu,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
grace,,kolapo,example1@gmail.com,Nigeria,712345678,female,UnderGraduate
emmanuel,,olajide,example2@gmail.com,Nigeria,712345678,male,HighSchool
adeniyi,,adeniran,example1@gmail.com,Nigeria,712345678,male,UnderGraduate
stephnie,,ugochukwu,example2@gmail.com,Nigeria,712345678,female,HighSchool
kenneth,,igbnekwu,example1@gmail.com,Nigeria,712345678,male,UnderGraduate
akpen,,sesugh cyprian,example2@gmail.com,Nigeria,712345678,male,PostGraduate
jacob,,mahe,example1@gmail.com,Kenya,712345678,male,undergraduate
luke,,kobia,example2@gmail.com,Kenya,712345678,male,Diploma
olakunle,,opajobi,example1@gmail.com,Nigeria,712345678,male,UnderGraduate
emmanuel,,audu,example2@gmail.com,Nigeria,712345678,male,HighSchool
tope,,taiwo,example1@gmail.com,Nigeria,712345678,male,PostGraduate
reginald,,elvis,example2@gmail.com,Kenya,712345678,male,UnderGraduate
ifeanyi,,david,example1@gmail.com,Nigeria,712345678,male,Diploma
matshediso,,lebakeng,example2@gmail.com,South Africa,712345678,female,UnderGraduate
ayodeji,,ajuwon,example1@gmail.com,Nigeria,712345678,male,undergraduate
hakeem,,hakeem ayinde,example2@gmail.com,Nigeria,712345678,male,undergraduate
pascal,,mugisha,example1@gmail.com,Rwanda,712345678,male,HighSchool
kolawole,,lawal,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
evelyn yaa,,baidoo,example1@gmail.com,Ghana,712345678,female,undergraduate
umar,,mohammed gibrilla,example2@gmail.com,Ghana,712345678,male,Diploma
akinwale,,akinade,example1@gmail.com,Nigeria,712345678,male,Diploma
bright,,doro,example2@gmail.com,Nigeria,712345678,male,PostGraduate
sam,,nzioki,example1@gmail.com,Kenya,712345678,male,UnderGraduate
cantons,,omondi,example2@gmail.com,Kenya,712345678,male,UnderGraduate
nkosana gabriel,,mabunda,example1@gmail.com,South Africa,712345678,male,HighSchool
omotola,,ishola-badamasi,example2@gmail.com,Nigeria,712345678,female,PostGraduate
olugbenga david,,jolayemi,example1@gmail.com,Nigeria,712345678,male,UnderGraduate
astridah,,mayembe,example2@gmail.com,Zambia,712345678,female,Diploma
johannes,,sephosi,example1@gmail.com,South Africa,712345678,male,HighSchool
randy,,lutta,example2@gmail.com,Kenya,712345678,male,Diploma
kimutai,,collins,example1@gmail.com,Kenya,712345678,male,HighSchool
michael,,mwanza,example2@gmail.com,Zambia,712345678,male,
nevil,,egita,example1@gmail.com,Uganda,712345678,male,Diploma
abiola,,adejimi,example2@gmail.com,Nigeria,712345678,male,postgraduate
gathendi,,boniface,example1@gmail.com,Kenya,712345678,male,UnderGraduate
purity,,chabani,example2@gmail.com,Kenya,712345678,female,UnderGraduate
opeyemi,,agbaje,example1@gmail.com,Nigeria,712345678,male,postgraduate
liadi,,oyebiyi,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
moustakim,,sannoh,example1@gmail.com,Sierra Leone,712345678,male,UnderGraduate
moses,,thomas,example2@gmail.com,Nigeria,712345678,male,HighSchool
juanita,,chepchumba,example1@gmail.com,Kenya,712345678,female,HighSchool
olaoluwa,,akinbo,example2@gmail.com,Nigeria,712345678,male,diploma
anthony,,udem,example1@gmail.com,Nigeria,712345678,male,UnderGraduate
alamin,,ahmed,example2@gmail.com,Nigeria,712345678,male,PostGraduate
yvonne,,murimi,example1@gmail.com,Kenya,712345678,non_binary,UnderGraduate
gilbert,,kamau,example2@gmail.com,Kenya,712345678,male,UnderGraduate
kingsley,,okoh,example1@gmail.com,Nigeria,712345678,male,Diploma
john,,adejoro,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
rhoda,,alewi,example1@gmail.com,Nigeria,712345678,female,UnderGraduate
bienvenu,,gbeti,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
chidiebere,,nwachukwu,example1@gmail.com,Nigeria,712345678,male,PostGraduate
bunmi,,adejumo,example2@gmail.com,Nigeria,712345678,male,PostGraduate
peace,,abraham,example1@gmail.com,Nigeria,712345678,female,secondary
charles,,odukoya,example2@gmail.com,Nigeria,712345678,male,postgraduate
abdulraufu,,wasiu,example1@gmail.com,Nigeria,712345678,male,Diploma
lucy,,chepkemboi,example2@gmail.com,Kenya,712345678,female,undergraduate
josephine,,gakii,example1@gmail.com,Kenya,712345678,female,HighSchool
ridwaan,,sanusi,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
peterson,,muthomi,example1@gmail.com,Kenya,712345678,male,UnderGraduate
moses,,otieno,example2@gmail.com,Kenya,712345678,male,UnderGraduate
brenes,,census,example1@gmail.com,Kenya,712345678,female,UnderGraduate
brian,,otieno,example2@gmail.com,Kenya,712345678,male,UnderGraduate
peter,,kiarie,example1@gmail.com,Kenya,712345678,male,HighSchool
saheed,,lawal,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
eric,,ngaruiya,example1@gmail.com,Kenya,712345678,male,UnderGraduate
samuel,,kapaw,example2@gmail.com,Kenya,712345678,male,UnderGraduate
wongalethu,,ndzotyana,example1@gmail.com,South Africa,712345678,male,HighSchool
edith,,wanjohi,example2@gmail.com,Kenya,712345678,female,UnderGraduate
uchenna,,onoh,example1@gmail.com,Nigeria,712345678,female,UnderGraduate
osemudiamen,,eromoigbe,example2@gmail.com,Nigeria,712345678,male,PostGraduate
uthman,,adekoya,example1@gmail.com,Nigeria,712345678,male,Diploma
celine,,wangui,example2@gmail.com,Kenya,712345678,female,HighSchool
ø­ø³ù†ø§ø¡,,ahmed abdelsalam,example1@gmail.com,Egypt,712345678,female,UnderGraduate
njeri,,muciri,example2@gmail.com,Kenya,712345678,female,undergraduate
victor,,kipkemei,example1@gmail.com,Kenya,712345678,male,UnderGraduate
renard,,owiti,example2@gmail.com,Kenya,712345678,male,Diploma
sharon,,munyao,example1@gmail.com,Kenya,712345678,female,postgraduate
chinecherem,,amutaeme,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
arede,,akiya,example1@gmail.com,Nigeria,712345678,female,other
noah,,antai,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
kizito,,oguizu,example1@gmail.com,Nigeria,712345678,male,UnderGraduate
ifeoluwa,,olaleye,example2@gmail.com,Nigeria,712345678,female,UnderGraduate
elijah,,okeri,example1@gmail.com,Kenya,712345678,male,UnderGraduate
joseph,,indieka,example2@gmail.com,Kenya,712345678,male,UnderGraduate
angela,,mutiga,example1@gmail.com,Kenya,712345678,female,diploma
emmanuel,,mwendwa,example2@gmail.com,Kenya,712345678,male,Diploma
prudence,,chepkurui,example1@gmail.com,Kenya,712345678,female,UnderGraduate
morris,,mwai,example2@gmail.com,Kenya,712345678,male,UnderGraduate
andile,,mnukwa,example1@gmail.com,South Africa,712345678,male,Diploma
adenike dorcas,,adegbayibi,example2@gmail.com,Nigeria,712345678,female,UnderGraduate
simeon,,olabode,example1@gmail.com,Nigeria,712345678,male,PostGraduate
john,,okoye,example2@gmail.com,Nigeria,712345678,male,UnderGraduate
samuel,,akran,example1@gmail.com,Nigeria,712345678,male,UnderGraduate
kelvin,,njeru,example2@gmail.com,Kenya,712345678,male,undergraduate
abdulrahmon,,muhammed,example1@gmail.com,Nigeria,712345678,male,undergraduate
emmanuel,,kibet,example2@gmail.com,Kenya,712345678,male,HighSchool
chukwuemeka,,onyekwuluje,example1@gmail.com,Nigeria,712345678,male,Diploma
